mois,nb_marches,volume_M_usd
2020-10-01,26,17.08
2020-11-01,26,38.06
2020-12-01,21,22.0
2021-01-01,39,20.95
2021-02-01,63,6.02
2021-03-01,54,7.63
2021-04-01,74,6.79
2021-05-01,152,5.11
2021-06-01,204,8.92
2021-07-01,106,8.69
2021-08-01,120,4.2
2021-09-01,92,4.73
2021-10-01,197,8.94
2021-11-01,401,6.08
2021-12-01,354,5.47
2022-01-01,629,40.11
2022-02-01,333,6.12
2022-03-01,480,11.92
2022-04-01,440,8.94
2022-05-01,278,6.62
2022-06-01,114,4.92
2022-07-01,100,3.68
2022-08-01,74,2.05
2022-09-01,124,2.44
2022-10-01,116,1.38
2022-11-01,167,1.57
2022-12-01,70,0.58
2023-01-01,99,3.56
2023-02-01,337,13.06
2023-03-01,731,5.06
2023-04-01,681,2.85
2023-05-01,499,3.41
2023-06-01,98,13.15
2023-07-01,115,7.49
2023-08-01,171,4.23
2023-09-01,228,27.51
2023-10-01,368,10.58
2023-11-01,280,7.66
2023-12-01,258,30.47
2024-01-01,550,5075.85
2024-02-01,469,119.15
2024-03-01,643,470.52
2024-04-01,586,151.38
2024-05-01,642,165.78
2024-06-01,883,240.01
2024-07-01,1215,1564.78
2024-08-01,1632,1504.39
2024-09-01,2116,4514.16
2024-10-01,2827,1376.95
2024-11-01,2256,2248.85
2024-12-01,2414,1596.77
2025-01-01,3500,1398.9
2025-02-01,4497,1091.6
2025-03-01,5980,1054.33
2025-04-01,6852,2104.61
2025-05-01,6150,1571.83
2025-06-01,7959,1754.43
2025-07-01,9627,4786.46
2025-08-01,12016,1967.8
2025-09-01,31790,2008.44
2025-10-01,34610,3397.13
2025-11-01,49908,3765.13
2025-12-01,77128,4142.1
2026-01-01,124250,6273.18
2026-02-01,119586,5117.82
2026-03-01,215985,2451.71
