market_id,question,nb_trades,volume_M_usd,prix_moyen,question_court
253591,Will Donald Trump win the 2024 US Presidential Election?,2749424,817.93,0.607,Will Donald Trump win the 2024 US Presidential Election…
253597,Will Kamala Harris win the 2024 US Presidential Election?,1529887,449.2,0.394,Will Kamala Harris win the 2024 US Presidential Electio…
511754,Will Donald Trump be inaugurated?,1343803,203.83,0.964,Will Donald Trump be inaugurated?
253727,Kamala Harris wins the popular vote?,380476,78.58,0.655,Kamala Harris wins the popular vote?
538932,Will Zohran Mamdani win the 2025 NYC mayoral election?,347420,95.93,0.873,Will Zohran Mamdani win the 2025 NYC mayoral election?
506747,Liverpool wins the Premier League?,277088,7.85,0.66,Liverpool wins the Premier League?
506731,Bournemouth wins the Premier League?,227869,0.47,0.005,Bournemouth wins the Premier League?
507295,Will Celtic win the UEFA Champions League?,227450,0.35,0.005,Will Celtic win the UEFA Champions League?
507286,Will Aston Villa win the UEFA Champions League?,227311,5.29,0.019,Will Aston Villa win the UEFA Champions League?
506742,Nottingham Forest wins the Premier League?,215851,1.37,0.007,Nottingham Forest wins the Premier League?
507302,Will Lille win the UEFA Champions League?,204653,0.6,0.008,Will Lille win the UEFA Champions League?
506736,Everton wins the Premier League?,201789,0.52,0.004,Everton wins the Premier League?
506733,Brighton & Hove Albion wins the Premier League?,200393,1.15,0.006,Brighton & Hove Albion wins the Premier League?
511753,Will Kamala Harris be inaugurated?,198778,15.65,0.015,Will Kamala Harris be inaugurated?
506743,Southampton wins the Premier League?,197895,2.11,0.004,Southampton wins the Premier League?
253706,Will Donald Trump win the popular vote in the 2024 Presidential Election?,197390,54.74,0.371,Will Donald Trump win the popular vote in the 2024 Pres…
506739,Leicester City wins the Premier League?,197061,0.73,0.005,Leicester City wins the Premier League?
507311,Will Shakhtar Donetsk win the UEFA Champions League?,195975,0.16,0.005,Will Shakhtar Donetsk win the UEFA Champions League?
572469,Will Trump nominate Kevin Warsh as the next Fed chair?,193971,41.87,0.725,Will Trump nominate Kevin Warsh as the next Fed chair?
507317,Will Sturm Graz win the UEFA Champions League?,192343,0.25,0.004,Will Sturm Graz win the UEFA Champions League?
