wallet,nb_trades,volume_M_usd,montant_moyen,nb_marches
0xE90Bec87d9Ef430F27F9dCfe72C34b76967d5dA2,124345,177.73,1429.32,3156
0xC8ab97a9089a9Ff7E6eF0688e6e591a066946418,822147,165.61,201.43,27783
0xFc25f141Ed27Bb1787338d2C4E7f51e3A15E1f7F,299678,151.16,504.41,9852
0x751a2b86caB503496eFD325c8344E10159349eA1,219034,149.56,682.8,21742
0x2005D16a84CEEfa912D4e380cD32E7ff827875Ea,1539917,125.69,81.62,42070
0x24c8CF69a0e0A17EEE21f69d29752BfA32e823e1,827552,125.16,151.24,3783
0xee613B3FC183ee44F9Da9c05F53e2Da107E3DeBf,915891,123.74,135.11,34532
0xEd107a85a4585A381E48C7F7Ca4144909e7Dd2E5,42037,106.68,2537.85,909
0x9d84cE0306F8551e02EFef1680475Fc0f1dC1344,554772,104.78,188.87,9238
0x507E52ef684CA2dD91F90a9d26D149Dd3288BEae,915317,104.29,113.94,43376
0x5bFFCF561BCaE83AF680ad600cb99F1184d6fFbe,177581,96.07,540.97,509
0x6A72f61820b26b1fe4d956E17B6DC2A1Ea3033EE,133276,94.35,707.96,2178
0xD218E474776403A330142299f7796E8BA32Eb5C9,807579,90.18,111.67,30955
0x44c1DfE43260C94Ed4F1D00dE2e1f80Fb113Ebc1,56930,86.78,1524.29,1738
0x2785E7022dc20757108204B13C08cEa8613b70Ae,13183,85.92,6517.14,133
0xFB1c3C1Ab4Fb2d0CBCBb9538c8d4D357DD95963e,1083738,83.73,77.26,29457
0xD84c2b6d65dC596f49C7b6AaDd6d74CA91e407B9,872487,81.78,93.73,35056
0x6d3C5Bd13984B2DE47C3A88dDC455309aAB3d294,748313,80.93,108.16,8489
0xeE00ba338C59557141789b127927a55f5cC5cEa1,78246,80.91,1034.06,5474
0x2a2C53bD278c04DA9962Fcf96490E17F3DfB9Bc1,85317,73.72,864.11,901
