mois,nb_trades,volume_M_usd
2022-11-01,73,0.0
2022-12-01,1666,0.16
2023-01-01,3812,0.55
2023-02-01,7128,1.31
2023-03-01,24576,5.94
2023-04-01,9419,1.47
2023-05-01,12502,3.9
2023-06-01,16155,3.74
2023-07-01,13505,3.28
2023-08-01,22880,4.19
2023-09-01,12022,1.91
2023-10-01,24733,4.26
2023-11-01,24693,3.31
2023-12-01,22060,3.52
2024-01-01,69041,28.64
2024-02-01,69201,21.28
2024-03-01,75222,23.77
2024-04-01,57796,19.43
2024-05-01,155831,31.42
2024-06-01,360037,52.55
2024-07-01,979655,175.13
2024-08-01,1587559,203.9
2024-09-01,1873422,238.22
2024-10-01,7037690,1159.96
2024-11-01,7555465,1187.68
2024-12-01,11568669,787.31
2025-01-01,7043689,527.9
2025-02-01,4647151,341.67
2025-03-01,4622292,388.3
2025-04-01,4268451,423.29
2025-05-01,5046714,544.22
2025-06-01,5221640,587.85
2025-07-01,6229982,543.71
2025-08-01,6591306,485.91
2025-09-01,7380981,661.09
2025-10-01,16696530,1311.49
2025-11-01,26818558,1690.37
2025-12-01,47749531,2172.24
2026-01-01,82756601,3183.76
2026-02-01,136897437,3364.6
2026-03-01,175035066,4022.9
