bin_prix_yes,nb_marches,pct_no_gagne,ev_pari_no
0.0,46436,100.0,-0.0002
0.05,18126,99.9,0.0515
0.1,16569,99.8,0.1084
0.15,20444,99.5,0.1712
0.2,24497,99.2,0.2395
0.25,23721,98.1,0.3076
0.3,20760,95.6,0.3651
0.35,19235,89.7,0.3799
0.4,18307,81.2,0.3533
0.45,18501,67.1,0.2206
0.5,19157,44.0,-0.1208
0.55,18137,28.9,-0.3585
0.6,18276,21.2,-0.4691
0.65,19633,17.8,-0.4911
0.7,21029,16.2,-0.4611
0.75,20568,16.8,-0.3287
0.8,16244,19.3,-0.035
0.85,10889,23.5,0.5649
0.9,9555,24.0,1.3967
0.95,21799,21.2,3.2396
