jours_avant_fin,resultat,prix_yes_moyen,nb_marches
0,0,0.243,297814
0,1,0.7656,161086
1,0,0.2629,162896
1,1,0.5996,77880
2,0,0.1807,86622
2,1,0.5935,29517
3,0,0.1701,63545
3,1,0.6138,20680
4,0,0.1617,53812
4,1,0.6222,16886
5,0,0.163,46349
5,1,0.6373,15290
6,0,0.172,47303
6,1,0.6733,16235
7,0,0.1901,55009
7,1,0.7363,23251
8,0,0.2073,30247
8,1,0.5985,11670
9,0,0.1632,24143
9,1,0.5949,7705
10,0,0.1381,20867
10,1,0.6082,5687
11,0,0.1375,17782
11,1,0.6172,5037
12,0,0.1343,17293
12,1,0.6324,4978
13,0,0.1238,17164
13,1,0.6614,4956
14,0,0.0997,17396
14,1,0.7365,5336
15,0,0.1119,14976
15,1,0.6367,3615
16,0,0.1011,13704
16,1,0.6317,3041
17,0,0.0977,13244
17,1,0.6317,2782
18,0,0.1029,12196
18,1,0.6354,2760
19,0,0.0994,12058
19,1,0.6287,2603
20,0,0.0999,11694
20,1,0.6235,2467
21,0,0.1023,11452
21,1,0.6245,2516
22,0,0.1053,11029
22,1,0.6323,2467
23,0,0.1078,10845
23,1,0.6213,2456
24,0,0.1105,10586
24,1,0.6167,2429
25,0,0.1115,10302
25,1,0.6187,2412
26,0,0.1106,10207
26,1,0.6077,2355
27,0,0.1067,10268
27,1,0.6146,2354
28,0,0.1069,10106
28,1,0.6143,2340
29,0,0.1082,9929
29,1,0.6199,2268
30,0,0.1111,9242
30,1,0.6243,2157
