mois,nb_opportunites,volume_total_K_usd
2022-01-01,12,15494.1
2022-05-01,1,362.1
2022-07-01,1,576.0
2022-10-01,2,166.4
2022-11-01,7,140.0
2022-12-01,13,276.5
2023-01-01,34,2292.2
2023-02-01,57,1330.6
2023-03-01,53,2749.3
2023-04-01,50,1363.5
2023-05-01,39,1753.4
2023-06-01,43,6749.3
2023-07-01,69,5787.5
2023-08-01,68,2135.0
2023-09-01,59,4924.5
2023-10-01,93,5251.3
2023-11-01,74,5922.6
2023-12-01,115,11634.2
2024-01-01,433,3312141.1
2024-02-01,310,97369.1
2024-03-01,428,304105.6
2024-04-01,372,122171.5
2024-05-01,444,137701.8
2024-06-01,547,79895.6
2024-07-01,729,1463111.6
2024-08-01,1104,1319023.8
2024-09-01,1280,4172363.8
2024-10-01,1613,1185676.6
2024-11-01,1403,1591704.2
2024-12-01,1531,1268213.3
2025-01-01,2324,1078254.3
2025-02-01,2626,844143.1
2025-03-01,2440,754095.4
2025-04-01,2523,1604771.8
2025-05-01,3392,1161998.0
2025-06-01,3141,1116424.2
2025-07-01,4578,4123249.6
2025-08-01,4990,1433129.2
2025-09-01,7763,1321124.4
2025-10-01,11088,2050709.2
2025-11-01,14338,1778259.1
2025-12-01,16961,2072184.3
2026-01-01,26966,3091465.2
2026-02-01,24905,1972324.0
2026-03-01,14736,1222751.8
