jours_avant_fin,side,prix_moyen,nb_trades,volume_K_usd
0,BUY,0.9706,284,14.4
0,SELL,0.4444,286,23.5
1,BUY,0.9382,69,7.2
1,SELL,0.0894,431,48.2
2,BUY,0.9979,25,2.4
2,SELL,0.0301,97,6.3
3,BUY,0.9977,53,5.0
3,SELL,0.0026,38,1.9
4,BUY,0.9969,8,0.8
4,SELL,0.003,6,0.5
5,SELL,0.0031,25,2.7
6,SELL,0.0166,25,2.4
7,SELL,0.0144,48,3.7
8,SELL,0.0112,9,1.1
9,SELL,0.0029,16,1.4
10,BUY,0.9831,7,0.5
10,SELL,0.0027,134,12.8
11,BUY,0.8538,8,0.6
11,SELL,0.011,209,26.2
12,BUY,0.9869,25,4.3
12,SELL,0.0094,56,8.8
13,BUY,0.987,6,1.1
13,SELL,0.0094,173,23.7
14,SELL,0.0079,159,12.9
15,SELL,0.0055,141,14.1
16,SELL,0.007,39,5.8
17,BUY,0.995,1,0.1
17,SELL,0.006,84,11.8
18,SELL,0.0067,55,9.0
19,SELL,0.0072,74,4.8
20,SELL,0.0095,202,16.0
21,SELL,0.0094,272,20.0
22,SELL,0.0114,233,13.6
23,BUY,0.014,1,0.0
23,SELL,0.0131,217,16.9
24,SELL,0.0161,202,14.2
25,SELL,0.0082,177,12.3
26,SELL,0.0082,204,13.6
27,BUY,0.013,1,0.0
27,SELL,0.0108,191,13.8
28,SELL,0.0131,185,13.5
29,BUY,0.9832,11,0.6
29,SELL,0.007,36,3.0
30,BUY,0.9525,11,0.8
