wallet,nb_marches,volume_usd,nb_wins,nb_losses,win_rate_pct,volume_par_marche
0xF8b1864046A787f55b68203611830E21744F2282,39,43982.0,39.0,0.0,100.0,1128.0
0x31AfCaF5538e0c8F1ebc4FE5956d49Acd0b70960,28,13180.0,28.0,0.0,100.0,471.0
0x59e3f9E88e94CeB78e9CC0FB996A18b98F7e1B57,31,14397.0,31.0,0.0,100.0,464.0
0xBcE5D732751719310f56a0D51E7B0FB6195b152C,31,13037.0,31.0,0.0,100.0,421.0
0x6B4C229633182B8EA45e393424163C2962ee8349,31,15079.0,31.0,0.0,100.0,486.0
0xAdB5C2d65D0b04ACBc464ac7e228E54EcBf9847d,21,15106.0,21.0,0.0,100.0,719.0
0x9c9c439609E53641DcEe6A78287fF2c615f284F2,37,14748.0,37.0,0.0,100.0,399.0
0x2846B308cE6411D5EEBb27dF1445ADaB93D387a8,22,11250.0,22.0,0.0,100.0,511.0
0x40FDCFBD4a0fC594E37745375743944a1E8dF1df,23,13336.0,23.0,0.0,100.0,580.0
0xb4ca621209586d0394c8f583107EADe51EDC3B01,36,35066.0,36.0,0.0,100.0,974.0
0x10E7fBaED3fdf2eeA674ce61C7a50Fe83269AFFE,27,24873.0,27.0,0.0,100.0,921.0
0xd981aDb1dF62EE72FFee7b19A72469A373E5107a,20,10565.0,20.0,0.0,100.0,528.0
0x6496bE2608199ed269e608e06115F869A746375b,27,14952.0,27.0,0.0,100.0,554.0
0x8DA7e2E33d42191dc86a9519102dB8fd076E1E15,30,12883.0,30.0,0.0,100.0,429.0
0xFf04f43218AAC955c94eB55BC79476c20934f648,24,15045.0,24.0,0.0,100.0,627.0
0x0977B497E08752eFABb20816bdE3CA7581DD37F9,28,14950.0,28.0,0.0,100.0,534.0
0x85d3Ef065a32b3928fCCB4a69D7Ca497efe26316,27,24328.0,27.0,0.0,100.0,901.0
0xF5bC62E2937Af19322caB9cd28F72cc18DD57e27,20,15047.0,20.0,0.0,100.0,752.0
0xD920ef7bbb602D0b2DAB6b5DBc9198b4C12672d7,33,14562.0,33.0,0.0,100.0,441.0
