duree,tranche_vol,nb_marches,pct_no_gagne
A. 0-1 jour,1. < 1K$,216814,65.5
A. 0-1 jour,2. 1K-10K$,62032,55.1
A. 0-1 jour,3. 10-100K$,48022,53.0
A. 0-1 jour,4. > 100K$,16039,52.3
B. 2-7 jours,1. < 1K$,59974,71.2
B. 2-7 jours,2. 1K-10K$,46785,70.5
B. 2-7 jours,3. 10-100K$,52975,64.3
B. 2-7 jours,4. > 100K$,16392,60.9
C. 8-30 jours,1. < 1K$,52282,70.2
C. 8-30 jours,2. 1K-10K$,29106,68.1
C. 8-30 jours,3. 10-100K$,25342,66.0
C. 8-30 jours,4. > 100K$,14667,62.5
D. 1-6 mois,1. < 1K$,3063,83.4
D. 1-6 mois,2. 1K-10K$,6130,83.1
D. 1-6 mois,3. 10-100K$,8056,78.7
D. 1-6 mois,4. > 100K$,6066,77.5
E. > 6 mois,1. < 1K$,801,86.4
E. > 6 mois,2. 1K-10K$,1015,80.1
E. > 6 mois,3. 10-100K$,2211,81.8
E. > 6 mois,4. > 100K$,2876,82.2
